head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
21,29,0.000400394179291856,3.3673132989921526e-05,29,attn:29-21,attn,0.8275862068965517,ceo_lastname
22,29,-0.00024218416162958883,-1.3126576887120639e-08,29,attn:29-22,attn,0.4482758620689655,ceo_lastname
23,29,-0.00010611464078999465,-6.730281054175152e-08,29,attn:29-23,attn,0.41379310344827586,ceo_lastname
24,29,0.0015113989442590032,0.00010556607178673584,29,attn:29-24,attn,0.6551724137931034,ceo_lastname
25,29,-0.0003811897540768104,6.602106770454279e-07,29,attn:29-25,attn,0.5172413793103449,ceo_lastname
26,29,-0.00047660807201343623,-0.00020009575270121523,29,attn:29-26,attn,0.3103448275862069,ceo_lastname
27,29,0.0013531622271474848,6.572943095222476e-09,29,attn:29-27,attn,0.5172413793103449,ceo_lastname
28,29,9.290410133166673e-05,-4.3821908795209995e-09,29,attn:29-28,attn,0.41379310344827586,ceo_lastname
29,29,-0.00028632574452327786,-2.646509860323923e-07,29,attn:29-29,attn,0.3448275862068966,ceo_lastname
3,29,0.000487135313307797,0.0,29,attn:29-3,attn,0.4827586206896552,ceo_lastname
30,29,0.000352799438144319,0.0,29,attn:29-30,attn,0.4827586206896552,ceo_lastname
31,29,0.0012237017940513674,0.0008476066212087727,29,attn:29-31,attn,0.7931034482758621,ceo_lastname
4,29,0.00014930798784208737,1.608691586624066e-08,29,attn:29-4,attn,0.5172413793103449,ceo_lastname
5,29,-5.877608123838327e-05,3.950014716901377e-09,29,attn:29-5,attn,0.5172413793103449,ceo_lastname
6,29,-3.5216754653006646e-05,-6.0619306283549624e-09,29,attn:29-6,attn,0.3793103448275862,ceo_lastname
7,29,0.0008461925430967053,0.0,29,attn:29-7,attn,0.4482758620689655,ceo_lastname
8,29,0.01450995138731357,0.012319650081899593,29,attn:29-8,attn,1.0,ceo_lastname
9,29,0.009767864851929388,0.003827536838977218,29,attn:29-9,attn,0.896551724137931,ceo_lastname
0,30,-0.004813815716371461,-0.00417999233146512,29,attn:30-0,attn,0.10344827586206896,ceo_lastname
1,30,0.004651271760966741,0.0021204748881553073,29,attn:30-1,attn,0.8620689655172413,ceo_lastname
10,30,0.00044752351560729863,0.00048305039986797066,29,attn:30-10,attn,0.6551724137931034,ceo_lastname
11,30,0.011711085733210917,2.4485572695311445e-05,29,attn:30-11,attn,0.5862068965517241,ceo_lastname
12,30,0.0012878413958354994,5.693545057443392e-08,29,attn:30-12,attn,0.5172413793103449,ceo_lastname
13,30,-0.003186931951734504,-0.0021346160011231833,29,attn:30-13,attn,0.27586206896551724,ceo_lastname
14,30,0.020496829509587786,0.017243440604579323,29,attn:30-14,attn,0.8275862068965517,ceo_lastname
