layer,mean_margin_recovery,median_margin_recovery,n,position_group,positive_fraction,task
6,0.9981587889462661,0.997834386819442,13,gold_sentence,1.0,employees_count_total
7,0.9983363284105871,0.9981279345645598,13,gold_sentence,1.0,employees_count_total
8,0.998005282287414,0.9982524641652907,13,gold_sentence,1.0,employees_count_total
9,0.9976176552612771,0.9988803442912573,13,gold_sentence,1.0,employees_count_total
10,0.9580872792410099,0.9831649504500373,13,gold_sentence,1.0,employees_count_total
11,0.9571781155716829,0.9818762458530264,13,gold_sentence,1.0,employees_count_total
12,0.9565296561006562,0.978981145717408,13,gold_sentence,1.0,employees_count_total
13,0.9385692364864163,0.9624332503261442,13,gold_sentence,1.0,employees_count_total
14,0.9216630957629091,0.952416768181121,13,gold_sentence,1.0,employees_count_total
15,0.915013302281523,0.9542338358295941,13,gold_sentence,1.0,employees_count_total
16,0.7570794063660155,0.7500101509684844,13,gold_sentence,1.0,employees_count_total
17,0.6761228146348299,0.6831597141760701,13,gold_sentence,1.0,employees_count_total
18,0.4813492878669399,0.46814681130442165,13,gold_sentence,1.0,employees_count_total
19,0.48968012728532495,0.465416387765694,13,gold_sentence,1.0,employees_count_total
20,0.3313473875834308,0.286104089404988,13,gold_sentence,1.0,employees_count_total
21,0.33105290105646706,0.28520038779565887,13,gold_sentence,1.0,employees_count_total
22,0.19085981064488927,0.14563679725217005,13,gold_sentence,1.0,employees_count_total
23,0.07877879489537369,0.013735146614449429,13,gold_sentence,0.8461538461538461,employees_count_total
24,0.056087908062670735,0.027412006677420036,13,gold_sentence,0.8461538461538461,employees_count_total
25,0.03965129324882021,0.01831490233921012,13,gold_sentence,0.8461538461538461,employees_count_total
26,0.022960069854660488,0.013258330834923265,13,gold_sentence,0.9230769230769231,employees_count_total
27,0.006943441028468215,0.005016087428482219,13,gold_sentence,1.0,employees_count_total
28,0.007051630183506263,0.004620296682836488,13,gold_sentence,1.0,employees_count_total
29,0.006995638311047523,0.004373410766987624,13,gold_sentence,0.9230769230769231,employees_count_total
30,0.0006171221981384623,0.00031098309147938453,13,gold_sentence,0.7692307692307693,employees_count_total
31,0.0,0.0,13,gold_sentence,0.0,employees_count_total
0,1.0002579583423632,1.0003237919698116,13,gold_value,1.0,employees_count_total
1,1.0000516154519716,1.0000048159378998,13,gold_value,1.0,employees_count_total
2,0.9998218007246493,1.0000000284507136,13,gold_value,1.0,employees_count_total
3,0.999934588167118,1.0000046708795292,13,gold_value,1.0,employees_count_total
4,0.9997300174455496,0.9996305731038572,13,gold_value,1.0,employees_count_total
5,0.997905298819336,0.9983405636231016,13,gold_value,1.0,employees_count_total
6,0.9977961064770142,0.9970893061921379,13,gold_value,1.0,employees_count_total
7,0.9978527502850737,0.997123823230307,13,gold_value,1.0,employees_count_total
8,0.9976425986847863,0.9978143063856834,13,gold_value,1.0,employees_count_total
9,0.9971772552165127,0.996519899525689,13,gold_value,1.0,employees_count_total
10,0.9572237525959731,0.9831649504500373,13,gold_value,1.0,employees_count_total
11,0.9562541395621277,0.9818762458530264,13,gold_value,1.0,employees_count_total
12,0.9555884068802836,0.978981145717408,13,gold_value,1.0,employees_count_total
13,0.93793885844103,0.9624332503261442,13,gold_value,1.0,employees_count_total
14,0.9210154501952009,0.952416768181121,13,gold_value,1.0,employees_count_total
