condition,gold,idx,mean_logprob,num_answer_tokens,span_end,span_start,sum_logprob,task
clean,35000,104669_1993.txt_employees_count_total_83,-5.410964012145996,2,,,-10.821928024291992,employees_count_total
full_qr_ablation,35000,104669_1993.txt_employees_count_total_83,-4.801063060760498,2,,,-9.602126121520996,employees_count_total
edge_gold,35000,104669_1993.txt_employees_count_total_83,-5.471611976623535,2,2943,2918,-10.94322395324707,employees_count_total
edge_distractor,35000,104669_1993.txt_employees_count_total_83,-5.402905464172363,2,362,337,-10.805810928344727,employees_count_total
edge_random,35000,104669_1993.txt_employees_count_total_83,-5.403380870819092,2,5032,5007,-10.806761741638184,employees_count_total
edge_nonqr_gold,35000,104669_1993.txt_employees_count_total_83,-5.373867988586426,2,2943,2918,-10.747735977172852,employees_count_total
edge_bottom_gold,35000,104669_1993.txt_employees_count_total_83,-5.418549537658691,2,2943,2918,-10.837099075317383,employees_count_total
clean,Nebraska,74783_1993.txt_headquarters_state_203,-0.015965832397341728,2,,,-0.031931664794683456,headquarters_state
full_qr_ablation,Nebraska,74783_1993.txt_headquarters_state_203,-1.2839281558990479,2,,,-2.5678563117980957,headquarters_state
edge_gold,Nebraska,74783_1993.txt_headquarters_state_203,-0.024570388719439507,2,2194,2164,-0.04914077743887901,headquarters_state
edge_distractor,Nebraska,74783_1993.txt_headquarters_state_203,-0.01618073880672455,2,412,382,-0.0323614776134491,headquarters_state
edge_random,Nebraska,74783_1993.txt_headquarters_state_203,-0.016178131103515625,2,3394,3364,-0.03235626220703125,headquarters_state
edge_nonqr_gold,Nebraska,74783_1993.txt_headquarters_state_203,-0.016872821375727654,2,2194,2164,-0.03374564275145531,headquarters_state
edge_bottom_gold,Nebraska,74783_1993.txt_headquarters_state_203,-0.015922069549560547,2,2194,2164,-0.031844139099121094,headquarters_state
