model,target_task,K,sensitivity_mean_drop,on_target_drop,off_target_mean_drop,mean_accuracy,baseline_accuracy
Mistral-7B-Instruct-v0.3,headquarters_city,0,0.0,0.0,0.0,1.0,1.0
Mistral-7B-Instruct-v0.3,headquarters_city,8,0.11458333333333333,0.125,0.1130952380952381,0.8854166666666666,1.0
Mistral-7B-Instruct-v0.3,headquarters_city,16,0.13020833333333334,0.125,0.13095238095238096,0.8697916666666666,1.0
Mistral-7B-Instruct-v0.3,headquarters_city,32,0.44270833333333337,0.45833333333333337,0.4404761904761905,0.5572916666666666,1.0
Mistral-7B-Instruct-v0.3,headquarters_city,48,0.4479166666666667,0.5,0.4404761904761905,0.5520833333333333,1.0
Mistral-7B-Instruct-v0.3,headquarters_city,64,0.484375,0.41666666666666663,0.494047619047619,0.515625,1.0
Mistral-7B-Instruct-v0.3,headquarters_city,96,0.5885416666666666,0.375,0.619047619047619,0.4114583333333333,1.0
Mistral-7B-Instruct-v0.3,headquarters_city,128,0.8541666666666666,0.8333333333333334,0.8571428571428571,0.14583333333333334,1.0
Mistral-7B-Instruct-v0.3,headquarters_state,0,0.0,0.0,0.0,0.9583333333333334,0.9583333333333334
Mistral-7B-Instruct-v0.3,headquarters_state,8,0.14583333333333337,0.125,0.14880952380952386,0.8125,0.9583333333333334
Mistral-7B-Instruct-v0.3,headquarters_state,16,0.1979166666666667,0.16666666666666674,0.2023809523809524,0.7604166666666666,0.9583333333333334
Mistral-7B-Instruct-v0.3,headquarters_state,32,0.35416666666666674,0.41666666666666674,0.3452380952380953,0.6041666666666666,0.9583333333333334
Mistral-7B-Instruct-v0.3,headquarters_state,48,0.3385416666666667,0.33333333333333337,0.3392857142857143,0.6197916666666666,0.9583333333333334
Mistral-7B-Instruct-v0.3,headquarters_state,64,0.3072916666666667,0.20833333333333337,0.32142857142857145,0.6510416666666666,0.9583333333333334
Mistral-7B-Instruct-v0.3,headquarters_state,96,0.359375,0.25,0.375,0.5989583333333334,0.9583333333333334
Mistral-7B-Instruct-v0.3,headquarters_state,128,0.65625,0.7083333333333334,0.6488095238095238,0.3020833333333333,0.9583333333333334
Mistral-7B-Instruct-v0.3,holder_record_amount,0,0.0,0.0,0.0,0.25,0.25
Mistral-7B-Instruct-v0.3,holder_record_amount,8,0.24479166666666666,0.20833333333333334,0.25,0.005208333333333333,0.25
Mistral-7B-Instruct-v0.3,holder_record_amount,16,0.25,0.25,0.25,0.0,0.25
Mistral-7B-Instruct-v0.3,holder_record_amount,32,0.25,0.25,0.25,0.0,0.25
Mistral-7B-Instruct-v0.3,holder_record_amount,48,0.24479166666666666,0.25,0.24404761904761904,0.005208333333333333,0.25
Mistral-7B-Instruct-v0.3,holder_record_amount,64,0.25,0.25,0.25,0.0,0.25
Mistral-7B-Instruct-v0.3,holder_record_amount,96,0.23958333333333334,0.25,0.2380952380952381,0.010416666666666666,0.25
Mistral-7B-Instruct-v0.3,holder_record_amount,128,0.22916666666666669,0.25,0.22619047619047622,0.020833333333333332,0.25
Mistral-7B-Instruct-v0.3,incorporation_state,0,0.0,0.0,0.0,0.9583333333333334,0.9583333333333334
Mistral-7B-Instruct-v0.3,incorporation_state,8,0.39583333333333337,0.33333333333333337,0.40476190476190477,0.5625,0.9583333333333334
Mistral-7B-Instruct-v0.3,incorporation_state,16,0.45833333333333337,0.5,0.45238095238095244,0.5,0.9583333333333334
Mistral-7B-Instruct-v0.3,incorporation_state,32,0.625,0.6666666666666667,0.6190476190476192,0.33333333333333337,0.9583333333333334
Mistral-7B-Instruct-v0.3,incorporation_state,48,0.640625,0.7083333333333334,0.630952380952381,0.3177083333333333,0.9583333333333334
Mistral-7B-Instruct-v0.3,incorporation_state,64,0.6822916666666667,0.7083333333333334,0.6785714285714286,0.2760416666666667,0.9583333333333334
Mistral-7B-Instruct-v0.3,incorporation_state,96,0.7395833333333334,0.75,0.7380952380952381,0.21875,0.9583333333333334
Mistral-7B-Instruct-v0.3,incorporation_state,128,0.8385416666666667,0.875,0.8333333333333334,0.11979166666666667,0.9583333333333334
Mistral-7B-Instruct-v0.3,incorporation_year,0,0.0,0.0,0.0,0.7916666666666666,0.7916666666666666
Mistral-7B-Instruct-v0.3,incorporation_year,8,0.3645833333333333,0.37499999999999994,0.3630952380952381,0.4270833333333333,0.7916666666666666
Mistral-7B-Instruct-v0.3,incorporation_year,16,0.5052083333333333,0.625,0.488095238095238,0.2864583333333333,0.7916666666666666
Mistral-7B-Instruct-v0.3,incorporation_year,32,0.71875,0.7916666666666666,0.7083333333333333,0.07291666666666667,0.7916666666666666
Mistral-7B-Instruct-v0.3,incorporation_year,48,0.7604166666666666,0.7916666666666666,0.7559523809523808,0.03125,0.7916666666666666
Mistral-7B-Instruct-v0.3,incorporation_year,64,0.7291666666666666,0.7916666666666666,0.7202380952380951,0.0625,0.7916666666666666
Mistral-7B-Instruct-v0.3,incorporation_year,96,0.7552083333333333,0.7916666666666666,0.75,0.03645833333333333,0.7916666666666666
Mistral-7B-Instruct-v0.3,incorporation_year,128,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.0,0.7916666666666666
Mistral-7B-Instruct-v0.3,registrant_name,0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666
Mistral-7B-Instruct-v0.3,registrant_name,8,0.0364583333333333,0.08333333333333326,0.029761904761904736,0.8802083333333334,0.9166666666666666
Mistral-7B-Instruct-v0.3,registrant_name,16,0.0364583333333333,0.25,0.005952380952380916,0.8802083333333334,0.9166666666666666
Mistral-7B-Instruct-v0.3,registrant_name,32,0.32291666666666663,0.33333333333333326,0.32142857142857145,0.59375,0.9166666666666666
Mistral-7B-Instruct-v0.3,registrant_name,48,0.515625,0.49999999999999994,0.5178571428571428,0.4010416666666667,0.9166666666666666
Mistral-7B-Instruct-v0.3,registrant_name,64,0.5364583333333333,0.5833333333333333,0.5297619047619048,0.3802083333333333,0.9166666666666666
