condition,gold,idx,mean_logprob,num_answer_tokens,span_end,span_start,sum_logprob,task
full_qr_ablation,4200,277821_1993.txt_employees_count_total_156,-4.5562520027160645,2,,,-9.112504005432129,employees_count_total
edge_gold,4200,277821_1993.txt_employees_count_total_156,-3.16544246673584,2,2771,2752,-6.33088493347168,employees_count_total
edge_distractor,4200,277821_1993.txt_employees_count_total_156,-3.3897740840911865,2,2039,2020,-6.779548168182373,employees_count_total
edge_random,4200,277821_1993.txt_employees_count_total_156,-3.3895492553710938,2,5014,4995,-6.7790985107421875,employees_count_total
edge_nonqr_gold,4200,277821_1993.txt_employees_count_total_156,-3.3975284099578857,2,2771,2752,-6.7950568199157715,employees_count_total
edge_bottom_gold,4200,277821_1993.txt_employees_count_total_156,-3.389714479446411,2,2771,2752,-6.779428958892822,employees_count_total
clean,2260,55387_1993.txt_employees_count_total_10,-2.547231674194336,2,,,-5.094463348388672,employees_count_total
full_qr_ablation,2260,55387_1993.txt_employees_count_total_10,-4.844907283782959,2,,,-9.689814567565918,employees_count_total
edge_gold,2260,55387_1993.txt_employees_count_total_10,-3.7534918785095215,2,3826,3791,-7.506983757019043,employees_count_total
edge_distractor,2260,55387_1993.txt_employees_count_total_10,-2.5549607276916504,2,880,845,-5.109921455383301,employees_count_total
edge_random,2260,55387_1993.txt_employees_count_total_10,-2.5394721031188965,2,3340,3305,-5.078944206237793,employees_count_total
edge_nonqr_gold,2260,55387_1993.txt_employees_count_total_10,-2.5313332080841064,2,3826,3791,-5.062666416168213,employees_count_total
edge_bottom_gold,2260,55387_1993.txt_employees_count_total_10,-2.5394437313079834,2,3826,3791,-5.078887462615967,employees_count_total
clean,0,821480_1993.txt_employees_count_total_238,-1.3110733032226562,1,,,-1.3110733032226562,employees_count_total
full_qr_ablation,0,821480_1993.txt_employees_count_total_238,-2.393688440322876,1,,,-2.393688440322876,employees_count_total
edge_gold,0,821480_1993.txt_employees_count_total_238,-1.3834953308105469,1,3674,3649,-1.3834953308105469,employees_count_total
edge_random,0,821480_1993.txt_employees_count_total_238,-1.3110003471374512,1,607,582,-1.3110003471374512,employees_count_total
edge_nonqr_gold,0,821480_1993.txt_employees_count_total_238,-1.3026092052459717,1,3674,3649,-1.3026092052459717,employees_count_total
edge_bottom_gold,0,821480_1993.txt_employees_count_total_238,-1.321852684020996,1,3674,3649,-1.321852684020996,employees_count_total
clean,257,18497_1993.txt_employees_count_total_34,-0.004566716495901346,1,,,-0.004566716495901346,employees_count_total
full_qr_ablation,257,18497_1993.txt_employees_count_total_34,-8.574373245239258,1,,,-8.574373245239258,employees_count_total
edge_gold,257,18497_1993.txt_employees_count_total_34,-0.009546462446451187,1,3635,3618,-0.009546462446451187,employees_count_total
edge_distractor,257,18497_1993.txt_employees_count_total_34,-0.00463957479223609,1,827,810,-0.00463957479223609,employees_count_total
edge_random,257,18497_1993.txt_employees_count_total_34,-0.004623199813067913,1,6798,6781,-0.004623199813067913,employees_count_total
edge_nonqr_gold,257,18497_1993.txt_employees_count_total_34,-0.004428342450410128,1,3635,3618,-0.004428342450410128,employees_count_total
edge_bottom_gold,257,18497_1993.txt_employees_count_total_34,-0.00462521705776453,1,3635,3618,-0.00462521705776453,employees_count_total
clean,35000,104669_1993.txt_employees_count_total_83,-5.410964012145996,2,,,-10.821928024291992,employees_count_total
full_qr_ablation,35000,104669_1993.txt_employees_count_total_83,-4.801063060760498,2,,,-9.602126121520996,employees_count_total
edge_gold,35000,104669_1993.txt_employees_count_total_83,-5.238604545593262,2,2943,2918,-10.477209091186523,employees_count_total
edge_distractor,35000,104669_1993.txt_employees_count_total_83,-5.410884380340576,2,362,337,-10.821768760681152,employees_count_total
edge_random,35000,104669_1993.txt_employees_count_total_83,-5.410963535308838,2,5862,5837,-10.821927070617676,employees_count_total
edge_nonqr_gold,35000,104669_1993.txt_employees_count_total_83,-5.391175270080566,2,2943,2918,-10.782350540161133,employees_count_total
edge_bottom_gold,35000,104669_1993.txt_employees_count_total_83,-5.414876461029053,2,2943,2918,-10.829752922058105,employees_count_total
clean,4426,277509_1993.txt_employees_count_total_227,-3.3918206691741943,2,,,-6.783641338348389,employees_count_total
full_qr_ablation,4426,277509_1993.txt_employees_count_total_227,-4.3924384117126465,2,,,-8.784876823425293,employees_count_total
edge_gold,4426,277509_1993.txt_employees_count_total_227,-3.68243670463562,2,3510,3490,-7.36487340927124,employees_count_total
edge_distractor,4426,277509_1993.txt_employees_count_total_227,-3.3918209075927734,2,330,310,-6.783641815185547,employees_count_total
edge_random,4426,277509_1993.txt_employees_count_total_227,-3.3840174674987793,2,6254,6234,-6.768034934997559,employees_count_total
edge_nonqr_gold,4426,277509_1993.txt_employees_count_total_227,-3.4152002334594727,2,3510,3490,-6.830400466918945,employees_count_total
edge_bottom_gold,4426,277509_1993.txt_employees_count_total_227,-3.3918211460113525,2,3510,3490,-6.783642292022705,employees_count_total
clean,51250,18230_1993.txt_employees_count_total_244,-6.69541597366333,2,,,-13.39083194732666,employees_count_total
full_qr_ablation,51250,18230_1993.txt_employees_count_total_244,-4.7747697830200195,2,,,-9.549539566040039,employees_count_total
edge_gold,51250,18230_1993.txt_employees_count_total_244,-6.429837703704834,2,3410,3380,-12.859675407409668,employees_count_total
edge_distractor,51250,18230_1993.txt_employees_count_total_244,-6.703228950500488,2,310,280,-13.406457901000977,employees_count_total
edge_random,51250,18230_1993.txt_employees_count_total_244,-6.7032294273376465,2,4107,4077,-13.406458854675293,employees_count_total
edge_nonqr_gold,51250,18230_1993.txt_employees_count_total_244,-6.734477519989014,2,3410,3380,-13.468955039978027,employees_count_total
edge_bottom_gold,51250,18230_1993.txt_employees_count_total_244,-6.69541597366333,2,3410,3380,-13.39083194732666,employees_count_total
clean,35000,716006_1993.txt_employees_count_total_118,-5.647589206695557,2,,,-11.295178413391113,employees_count_total
full_qr_ablation,35000,716006_1993.txt_employees_count_total_118,-4.552150249481201,2,,,-9.104300498962402,employees_count_total
edge_gold,35000,716006_1993.txt_employees_count_total_118,-5.33542013168335,2,3399,3383,-10.6708402633667,employees_count_total
edge_distractor,35000,716006_1993.txt_employees_count_total_118,-5.64364767074585,2,314,298,-11.2872953414917,employees_count_total
edge_random,35000,716006_1993.txt_employees_count_total_118,-5.643691062927246,2,1680,1664,-11.287382125854492,employees_count_total
edge_nonqr_gold,35000,716006_1993.txt_employees_count_total_118,-5.6357340812683105,2,3399,3383,-11.271468162536621,employees_count_total
edge_bottom_gold,35000,716006_1993.txt_employees_count_total_118,-5.651515483856201,2,3399,3383,-11.303030967712402,employees_count_total
clean,3712,103392_1993.txt_employees_count_total_176,-4.414548397064209,2,,,-8.829096794128418,employees_count_total
