head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
11,30,0.013171044894465389,0.00048115026892899736,12,attn:30-11,attn,0.5833333333333334,ceo_lastname
12,30,0.0022401942080823825,-0.0002771227359422372,12,attn:30-12,attn,0.5,ceo_lastname
13,30,-0.002848453789483906,-0.0013743110137155986,12,attn:30-13,attn,0.3333333333333333,ceo_lastname
14,30,0.025211709338285617,0.01732400970963642,12,attn:30-14,attn,0.8333333333333334,ceo_lastname
15,30,0.008768641582888348,0.0011298538635341323,12,attn:30-15,attn,0.5833333333333334,ceo_lastname
16,30,-6.972902183179407e-05,-0.0001482681731317075,12,attn:30-16,attn,0.3333333333333333,ceo_lastname
17,30,0.00021282888176021254,5.230640686758483e-07,12,attn:30-17,attn,0.5833333333333334,ceo_lastname
18,30,0.0007851849524097413,6.676600178217902e-05,12,attn:30-18,attn,0.5833333333333334,ceo_lastname
19,30,-0.0004095265411307183,-0.00016371400194541732,12,attn:30-19,attn,0.25,ceo_lastname
2,30,0.007567966827193935,0.0032120956619636834,12,attn:30-2,attn,1.0,ceo_lastname
20,30,0.00020594042588980148,1.627566514552734e-06,12,attn:30-20,attn,0.5,ceo_lastname
21,30,0.00407923667237136,0.0014647667450030893,12,attn:30-21,attn,0.75,ceo_lastname
22,30,0.0003470395443005243,0.0,12,attn:30-22,attn,0.4166666666666667,ceo_lastname
23,30,0.00018235557518700817,-1.5275034393282356e-07,12,attn:30-23,attn,0.3333333333333333,ceo_lastname
24,30,0.0028199003979402,0.0020310970875590446,12,attn:30-24,attn,0.75,ceo_lastname
